work_id,title,authors,year,venue,url_or_doi,bucket,verified,verification_source,how_certgen_uses_it,reviewer_attack_it_supports_or_defuses,citation_status,notes
img_metrics_fid,FID primary source to verify before citing,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_image_metrics,false,TBD_VERIFY,metric background and FID limitation context,FID is not certifiable by your method,needs_verification,no fake citation
img_metrics_kid,KID or MMD image-metric source to verify before citing,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_image_metrics,false,TBD_VERIFY,clean-core metric background,This is just KID/CMMD with a stopping rule,needs_verification,no fake citation
img_metrics_prdc,Precision recall density coverage metric sources to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_image_metrics,false,TBD_VERIFY,contrast with distributional metrics,You do not propose a new metric,needs_verification,no fake citation
img_metrics_cmmd,CMMD source to verify before citing,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_image_metrics,false,TBD_VERIFY,CLIP-feature clean-core candidate,This is just KID/CMMD with a stopping rule,needs_verification,no fake citation
img_metrics_fd_dino,FD-DINOv2 or feature distribution alternatives to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_image_metrics,false,TBD_VERIFY,descriptive feature-distribution alternative,FID is not certifiable by your method,needs_verification,no fake citation
video_metrics_fvd,FVD primary source to verify before citing,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_video_metrics,false,TBD_VERIFY,video extension context,No video results,needs_verification,no fake citation
video_metrics_fvd_reliability,FVD bias or reliability work to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,generative_video_metrics,false,TBD_VERIFY,video metric reliability caveat,No video results,needs_verification,no fake citation
repro_preprocess_sensitivity,Metric preprocessing sensitivity work to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,metric_reproducibility_preprocessing_sensitivity,false,TBD_VERIFY,motivates preprocessing locks,Preprocessing differences invalidate comparisons,needs_verification,no fake citation
sequential_confidence_sequences,Confidence sequence source to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,sequential_inference_anytime_valid_methods,false,TBD_VERIFY,anytime-valid inference background,Anytime-valid CS is known; where is the vision contribution?,needs_verification,no fake citation
sequential_eprocesses,E-process or betting martingale source to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,sequential_inference_anytime_valid_methods,false,TBD_VERIFY,optional stopping alternatives,The contribution overlaps with recent anytime-valid evaluation work,needs_verification,no fake citation
sequential_kernel_tests,Sequential kernel two-sample testing source to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,sequential_inference_anytime_valid_methods,false,TBD_VERIFY,clean-core stream comparison context,This is just KID/CMMD with a stopping rule,needs_verification,no fake citation
evaluation_leaderboard_uncertainty,Leaderboard uncertainty or audit work to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,evaluation_reliability_benchmark_auditing,false,TBD_VERIFY,positions decidedness audit,The paper is a statistics paper not CVPR,needs_verification,no fake citation
evaluation_ranking_stability,Ranking stability source to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,evaluation_reliability_benchmark_auditing,false,TBD_VERIFY,ranking stability framing,Your result does not prove prior papers are wrong,needs_verification,no fake citation
preference_arena_bt,Elo or Bradley-Terry preference ranking source to verify,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,TBD_VERIFY,preference_arena_evaluation_contrast,false,TBD_VERIFY,contrast with human-preference ranking,No human preference validation,needs_verification,no fake citation
